"UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
46,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-BRCA_3P_4951855","Sheep Creek below Spring in Bryce Canyon National Park","River/Stream","This station is at Sheep Creek below a spring in Bryce Canyon National Park. This site is downstream from an unnamed spring, and just upstream of the confluence of Sheep Creek with Short Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4951855 with a station name of Sheep Ck bl Spring in Bryce Cyn NP.","REVIEW","Manual review required","REVIEW",1,1,1,2,37.57137197,-112.2010288,NA,NA,14070007,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,17,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
47,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-BRCA_3P_4951857","Yellow Creek below Spring in Bryce Canyon National Park","River/Stream","This station is at Yellow Creek below spring in Bryce Canyon National Park. The site is approximately 3.1 kilometers downstream of Yellow Spring. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 373428112082801, Yellow Ck bl Spring in Bryce Cyn NP; and Utah Dept. of Environmental Quality 4951857, Yellow Ck bl Spring in Bryce Cyn NP.","REVIEW","Manual review required","REVIEW",1,1,1,2,37.57442796,-112.1410264,NA,NA,14070007,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,17,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
49,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CANY_3P_9328920","Green River at Mineral Bottom","River/Stream","This station is at Green River at Mineral Bottom. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4930150 with a station name of Green R at Mineral Bottoms; and as of May 2014, USGS NWIS Site No. 09328920 Green River at Mineral Bottom nr Cynlnds Ntl Park.","ACCEPT",NA,"11NPSWRD_WQX-CANY_3P_9328920",1,1,1,0,38.52192593,-109.9992916,38.52192593,-109.9992916,14060008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
52,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CARE_3P_4954360","Fremont River at Hickman Bridge Trailhead","River/Stream","This station is at Fremont River at Hickman Bridge Trailhead, approximately 300 meters directly south of the natural bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 381719111140601, Fremont R at Hickman Bridge Trailhead; and Utah Dept. of Environmental Quality of 4954360, Fremont R at Hickman Bridge.","REVIEW","Manual review required","REVIEW",1,1,1,2,38.28859102,-111.2348913,NA,NA,14070003,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,55,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
53,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CARE_3P_4954770","Sulphur Creek above Confluence with Fremont River","River/Stream","This station is at Sulphur Creek above confluence with Fremont River. This site is Sulphur Creek, approximately 100 meters upstream of its confluence with Fremont River. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs ans station names: USGS-NWIS Site No. 381712111144601, Sulphur Ck Ab Confl/Fremont R in Picnic Area; and Utah Dept. of Environmental Quality 4954770, Sulphur Ck ab Cnfl/Fremont R in Picnic.","REVIEW","Manual review required","REVIEW",1,1,1,1,38.2872222,-111.2462195,NA,NA,14070003,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,55,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
54,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-DINO_3P_9261000","Green River near Jensen, UT","River/Stream","This station is at Green River near Jensen, UT. This site is at the Utah State Route 149 Bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and names: USGS NWIS Site No. 09261000, Green River Near Jensen, UT; and Utah Dept. of Environmental Quality No. 4937900, Green R at Dinosaur Natl Monument U149 Xing.","REVIEW","Manual review required","REVIEW",1,2,3,3,40.40940757,-109.2354043,NA,NA,14060010,NA,NA,NA,NA,0,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
55,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-GLCA_3P_COY01","Coyote Gulch Upstream of Crack-In-The-Wall Trail","River/Stream","This station is at Coyote Gulch upstream of Crack-In-The-Wall Trail. This site is approximately 250 meters upstream of Crack-In-The-Wall Trail. This station has an additional ID from NPS of GLCA_COY01 with a station name of Coyote Gulch Above Crack-In-The-Wall Trail.","ACCEPT",NA,"11NPSWRD_WQX-GLCA_3P_COY01",1,1,1,0,37.427075,-110.989319,37.427075,-110.989319,14070005,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",1147,"m",NA,NA,"Unknown","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
56,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-GLCA_3P_ESC01","Escalante River Downstream of Stevens Canyon","River/Stream","This station is at Escalante River downstream of Stevens Canyon. This site is approximately 250 meters downstream of Stevens Canyon. This station has an additional NPS Station ID of GLCA_ESC01 with the station name of Escalante River below Steven's Canyon.","ACCEPT",NA,"11NPSWRD_WQX-GLCA_3P_ESC01",1,1,1,0,37.43432207,-110.9853845,37.43432207,-110.9853845,14070005,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",1133.66,"m",NA,NA,"Unknown","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
57,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-GLCA_3P_ESC02","Escalante River at Coyote Gulch","River/Stream","This station is at Escalante River at Coyote Gulch. This station has additional IDs and station names: USGS-NWIS Site No. 372541110584701, Escalante River at Coyote Gulch; and NPS Station ID GLCA_ESC02, Escalante River above Coyote Gulch.","REJECT",NA,"REJECT",NA,NA,NA,NA,37.4276963,-110.9808082,NA,NA,14070005,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",1129,"m",NA,NA,"Topographic Map Interpolation","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
58,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-HOVE_3P_5995710","Cajon Spring","Spring","This station is at Cajon Spring, at the Cajon Group Ruins. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995710 with a station name of Cajun Spring (misspelled).","REJECT",NA,"REJECT",NA,NA,NA,NA,37.29944105,-109.1842798,NA,NA,14080201,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
