BEN_CLASS,IR_MLID,IR_MLNAME,IR_Lat,IR_Long,ASSESS_ID,AU_NAME,R3172ParameterName,BeneficialUse,AssessCat
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Dam,Deer Creek at Dam,40.40646,-111.524202,UT-L-16020203-001_00,Deer Creek Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Dam,Deer Creek at Dam,40.40646,-111.524202,UT-L-16020203-001_00,Deer Creek Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Dam,Deer Creek at Dam,40.40646,-111.524202,UT-L-16020203-001_00,Deer Creek Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Dam,Deer Creek at Dam,40.40646,-111.524202,UT-L-16020203-001_00,Deer Creek Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Mid,Deer Creek Mid Res,40.418046,-111.503876,UT-L-16020203-001_00,Deer Creek Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Mid,Deer Creek Mid Res,40.418046,-111.503876,UT-L-16020203-001_00,Deer Creek Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Mid,Deer Creek Mid Res,40.418046,-111.503876,UT-L-16020203-001_00,Deer Creek Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Mid,Deer Creek Mid Res,40.418046,-111.503876,UT-L-16020203-001_00,Deer Creek Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Upper,Deer Creek Upper Res,40.443552,-111.484894,UT-L-16020203-001_00,Deer Creek Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Upper,Deer Creek Upper Res,40.443552,-111.484894,UT-L-16020203-001_00,Deer Creek Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Upper,Deer Creek Upper Res,40.443552,-111.484894,UT-L-16020203-001_00,Deer Creek Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-DC-Upper,Deer Creek Upper Res,40.443552,-111.484894,UT-L-16020203-001_00,Deer Creek Reservoir,pH,4,FS
