"locationID","locationName","locationType","LongitudeMeasure","LatitudeMeasure","AU_NAME","ASSESS_ID","AU_DESCRIP","AU_Type","priority"
"UTR387109","	CUWCD NORTH FORK SIPHON REPLACEMENT PROJECT","NON-POTW",-110.697613,40.602164,"Rock Creek Upper","UT14060003-020_00","Rock Creek and tributaries from USFS boundary to headwaters","River/Stream","N"
"UTR382871","	MIDWAY LANE STORAGE","NON-POTW",-111.412358,40.498014,"Heber Valley","UT16020203-026_00","Provo River east side tributaries from Daniels Creek to Little South Fork except Lake Creek","River/Stream","N"
"UTRH87071","#2 OUR HOUSE","NON-POTW",-111.96463,41.267827,NA,NA,NA,NA,"N"
"UTR387641","#378 MAVERIK SITE IMPROVEMENTS","NON-POTW",-112.028169,41.26943,"Four Mile Creek","UT16020102-003_00","Fourmile Creek and tributaries from confluence with Weber River to headwaters","River/Stream","N"
"UTG071285","#38706 7-ELEVEN","NON-POTW",-112.052399,39.737313,"Sevier River-21","UT16030005-007_00","Sevier River north side tributaries from DMAD Reservoir upstream to Sevier Bridge Reservoir (Yuba Dam) excluding Tanner Creek, Chicken Creek, their tributaries, and waters above USFS boundary","River/Stream","N"
"UTG071301","#38707 7-ELEVEN","NON-POTW",-111.991974,40.783049,NA,NA,NA,NA,"N"
"UTG071284","#38710 7-ELEVEN","NON-POTW",-111.415192,39.352693,"Joes Valley","UT14060009-006_00","Joes Valley Reservoir tributaries except Lowry Creek","River/Stream","N"
"UTG071295","#38761 7-ELEVEN","NON-POTW",-111.610319,40.185469,NA,NA,NA,NA,"N"
"UTG071296","#38847 7-ELEVEN","NON-POTW",-111.977377,41.264109,"Four Mile Creek","UT16020102-003_00","Fourmile Creek and tributaries from confluence with Weber River to headwaters","River/Stream","N"
"UTG071319","#38870 7-ELEVEN","NON-POTW",-112.046861,41.190622,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH87075","#4 OUR HOUSE","NON-POTW",-111.96463,41.268011,NA,NA,NA,NA,"N"
