UID,OrganizationIdentifier,OrganizationFormalName,ProviderName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,IR_FLAG,IR_COMMENT,IR_MLID,IR_MLNAME,ASSESS_ID,AU_NAME,AU_Type,Water_Type,R317Descrp,ss_R317Descrp,BEN_CLASS,MLID_Count,Lat_Count,Long_Count,sites100m_count,LatitudeMeasure,LongitudeMeasure,IR_Lat,IR_Long,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ValidationType,ReviewComment
1,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ARCH_3P_5995220,Salt Wash at Wolfe Ranch Road Crossing,River/Stream,"This station is at Salt Wash at Wolfe Ranch Road crossing, approximately 250 upstream of the bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995220 with a station name of Salt Wash.",ACCEPT,Automatically accepted,11NPSWRD_WQX-ARCH_3P_5995220,Salt Wash at Wolfe Ranch Road Crossing,UT14030005-007_00,Salt Wash,River/Stream,River / Stream,"Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,0,38.73720259,-109.5198411,38.73720259,-109.5198411,14030005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,19,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
2,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ARCH_3P_5995240,"Courthouse Wash Above Colorado River Near Moab, UT",River/Stream,"This station is at Courthouse Wash above Colorado River near Moab, Utah. This site is approximately 1.3 kilometers upstream of the confluence with Colorado River. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and names: USGS NWIS Site No. 09183000, Courthouse Wash Near Moab, UT; USGS-NWIS Site No.  383646109344701, Courthouse Wash above Colorado River near Moab, UT; and Utah Dept. of Environmental Quality No. 5995240, Courthouse Wash .5mi ab Colorado R at USGS.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14030005-018_00,Courthouse Wash,River/Stream,River / Stream,"Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,2,38.61275926,-109.5798402,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,19,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
3,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ARCH_3P_5995245,Upper Courthouse Wash at NPS Boundary,River/Stream,"This station is at Upper Courthouse Wash at National Park Service-Arches National Park boundary, approximately 3.6 kilometers upstream of Sevenmile Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995245.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14030005-018_00,Courthouse Wash,River/Stream,River / Stream,"Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,1,38.68803506,-109.654842,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,19,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
4,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ARCH_3P_5995250,Sleepy Hollow Spring in Upper Courthouse Wash,Spring,"This station is at Sleepy Hollow Spring in Upper Courthouse Wash. This site is river left in Upper Courthouse Wash, approximately 700 meters north of its confluence Sevenmile Canyon Wash. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 384024109382301, Sleepy Hollow Spring in Upper Courthouse Wash SH-1; and Utah Dept. of Environmental Quality 5995250, Sleepy Hollow Spring in Upper Courthouse.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14030005-018_00,Courthouse Wash,River/Stream,River / Stream,"Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,1,38.67331327,-109.6398416,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,19,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
5,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-BRCA_3P_4951855,Sheep Creek below Spring in Bryce Canyon National Park,River/Stream,"This station is at Sheep Creek below a spring in Bryce Canyon National Park. This site is downstream from an unnamed spring, and just upstream of the confluence of Sheep Creek with Short Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4951855 with a station name of Sheep Ck bl Spring in Bryce Cyn NP.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14070007-002_00,Paria River-2,River/Stream,River / Stream,"Paria River and tributaries, from state line to headwaters",NA,"2B,3C,4",1,1,1,2,37.57137197,-112.2010288,NA,NA,14070007,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,17,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
6,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-BRCA_3P_4951857,Yellow Creek below Spring in Bryce Canyon National Park,River/Stream,"This station is at Yellow Creek below spring in Bryce Canyon National Park. The site is approximately 3.1 kilometers downstream of Yellow Spring. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 373428112082801, Yellow Ck bl Spring in Bryce Cyn NP; and Utah Dept. of Environmental Quality 4951857, Yellow Ck bl Spring in Bryce Cyn NP.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14070007-001_00,Paria River-1,River/Stream,River / Stream,"Paria River and tributaries, from state line to headwaters",NA,"2B,3C,4",1,1,1,2,37.57442796,-112.1410264,NA,NA,14070007,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,17,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
7,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-BRCA_3P_4951915,Mossy Cave Spring Northwest of Tropic,Spring,"This station is at Mossy Cave Spring, northwest of Tropic, Utah. Mossy Cave Spring is in Water Canyon, river right, approximately 450 meters upstream of the confluence of Water Canyon with Tropic Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4951915 with a station name of Mossy Cave Spring NW of Tropic.",ACCEPT,Automatically accepted,11NPSWRD_WQX-BRCA_3P_4951915,Mossy Cave Spring Northwest of Tropic,UT14070007-001_00,Paria River-1,River/Stream,River / Stream,"Paria River and tributaries, from state line to headwaters",NA,"2B,3C,4",1,1,1,0,37.66406178,-112.1138854,37.66406178,-112.1138854,14070007,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,17,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
8,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-CANY_3P_4956290,Colorado River at Potash Boat Ramp,River/Stream,"This station is at Colorado River at Potash Boat Ramp, approximately 900 meters upstream of the Grand County-San Juan County boundary. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional IDs and station names: USGS-NWIS Site No. 383021109393401, Colorado River at Potash Boat Ramp, UT; and Utah Dept. of Environmental Quality no. 4956290, Colorado River at Potash Boat Ramp.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14030005-003_00,Colorado River-3,River/Stream,River / Stream,"Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,1,38.50553859,-109.6595616,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,19,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
9,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-CANY_3P_9328920,Green River at Mineral Bottom,River/Stream,"This station is at Green River at Mineral Bottom. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4930150 with a station name of Green R at Mineral Bottoms; and as of May 2014, USGS NWIS Site No. 09328920 Green River at Mineral Bottom nr Cynlnds Ntl Park.",ACCEPT,Automatically accepted,11NPSWRD_WQX-CANY_3P_9328920,Green River at Mineral Bottom,UT14060008-002_00,Green River-5,River/Stream,River / Stream,"Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,1,0,38.52192593,-109.9992916,38.52192593,-109.9992916,14060008,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,19,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
10,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-CARE_3P_4954360,Fremont River at Hickman Bridge Trailhead,River/Stream,"This station is at Fremont River at Hickman Bridge Trailhead, approximately 300 meters directly south of the natural bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 381719111140601, Fremont R at Hickman Bridge Trailhead; and Utah Dept. of Environmental Quality of 4954360, Fremont R at Hickman Bridge.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14070003-008_00,Fremont River-3,River/Stream,River / Stream,"Fremont River and tributaries, through Capitol Reef National Park to headwaters",NA,"1C,2A,3A,4",1,1,1,2,38.28859102,-111.2348913,NA,NA,14070003,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,55,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
11,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-CARE_3P_4954770,Sulphur Creek above Confluence with Fremont River,River/Stream,"This station is at Sulphur Creek above confluence with Fremont River. This site is Sulphur Creek, approximately 100 meters upstream of its confluence with Fremont River. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs ans station names: USGS-NWIS Site No. 381712111144601, Sulphur Ck Ab Confl/Fremont R in Picnic Area; and Utah Dept. of Environmental Quality 4954770, Sulphur Ck ab Cnfl/Fremont R in Picnic.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14070003-008_00,Fremont River-3,River/Stream,River / Stream,"Fremont River and tributaries, through Capitol Reef National Park to headwaters",NA,"1C,2A,3A,4",1,1,1,1,38.2872222,-111.2462195,NA,NA,14070003,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,55,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
