"MonitoringLocationIdentifier","Reason","ReasonType","FLAG"
"UTAHDWQ_WQX-4900001","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4900430","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4900445","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4900750","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4901050","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4904800","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4905348","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4905458","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4905730","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4905910","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4908149","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4908153","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4908154","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4908191","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4917320","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4920750","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4920990","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4921100","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4923500","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4923837","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4925140","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4926220","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930001","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930003","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930005","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930053","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930521","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930526","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4930527","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4931051","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4931600","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4933590","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4934444","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4935921","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936141","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936142","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936148","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936149","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936151","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936310","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936352","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936354","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936880","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4936881","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4937170","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4937180","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4937190","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4937761","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4938555","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4938831","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4939000","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4939001","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4939002","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4939003","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
"UTAHDWQ_WQX-4939100","Attributes indicate dup, rep, blank, dummy, or QAQC site","Attribute based","REJECT"
