"","locationID","locationName","locationType","LongitudeMeasure","LatitudeMeasure"
"1","UTR387109","	CUWCD NORTH FORK SIPHON REPLACEMENT PROJECT","NON-POTW",-110.697613,40.602164
"2","UTR382871","	MIDWAY LANE STORAGE","NON-POTW",-111.412358,40.498014
"3","UTR305856","1-15 AT 11400 SOUTH INTERCHANGE","NON-POTW",-111.893466,40.550683
"4","UTG070953","106TH SOUTH RECONSTRUCT","NON-POTW",-111.897371,40.559437
"5","UTR304452","114TH SOUTH TEMPORARY OFFICES","NON-POTW",-111.89461,40.55261
"6","UTG070999","1300 EAST SALT LAKE CITY BELT LINE REPLACEMENT","NON-POTW",-111.854132,40.733429
"7","UTG071002","134 MAIN STREET","NON-POTW",-111.49441,40.63984
"8","UTG070904","16313 SARATOGA MARINA PUMPHOUSE","NON-POTW",-111.870517,40.291232
"9","UTG070997","17308 500 SOUTH PUMP STATION","NON-POTW",-111.94359,40.75837
"10","UTR070957","17B VALLEY DOWNS WWPS INFLUENT SEWER REPLACEMENT PROJECT","NON-POTW",-111.967608,40.722177
"11","UTG070936","1800 NORTH 800 WEST-1000 W","NON-POTW",-111.85858,41.76548
"12","UTG071000","2017 FLANGE/INSULATION VERIFICATION","NON-POTW",-111.9198,40.75167
"13","UTR328311","300 WEST TOWNE CENTER","NON-POTW",-111.89967,40.74424
"14","UTR369987","360 APARTMENTS","NON-POTW",-111.90264,40.761392
"15","UTR269059","3FORM","NON-POTW",-111.950833,40.721389
"16","UTR343361","400 E ROAD CONSTRUCTION","NON-POTW",-111.6033,40.17227
"17","UTR369493","4LIFE","NON-POTW",-111.687187,40.32662
"18","UTG790065","4TH & 4TH APARTMENTS","NON-POTW",-111.879666,40.761116
"19","UTR370437","4TH WEST","NON-POTW",-111.90253,40.77463
"20","UTR380173","7026-512 GRANTSVILLE WALMART DISTRIBUTION CENTER","NON-POTW",-112.508611,40.621944
"21","UTR370185","725 WEST STREET RECONSTRUCTION","NON-POTW",-112.076081,41.124338
"22","UTR317158","800 N AQUADUCT PHASE 2","NON-POTW",-111.71525,40.32505
"23","UTR310002","800 NORTH AQUEDUCT PHASE 2","NON-POTW",-111.73171,40.31184
"24","UTR000205","A J DEAN & SON READY MIX CONC","NON-POTW",-111.79988,40.62898
"25","UTR000311","A-1 PIONEER MOVING/STORAGE","NON-POTW",-111.90526,40.758386
"26","UTR001027","A-D TECHNOLOGIES, INC","NON-POTW",-111.90961,40.85773
"27","UTR272755","AA U-CART CONCRETE","NON-POTW",-111.88635,40.67993
"28","UTR000273","ABF FREIGHT SYSTEM, INC.","NON-POTW",-111.93921,40.76908
"29","UTR269401","ABF TERMINAL 160 OGDEN","NON-POTW",-112.014722,41.227778
"30","UTR258223","ABOVE ALL AUTO","NON-POTW",-113.09701,37.68726
"31","UTR377377","AC MARRIOT","NON-POTW",-111.89866,40.765
"32","UTR010507","ACE DISPOSAL INC","NON-POTW",-111.7431,40.33497
"33","UTR000711","ACE OILFIELD DISPOSAL","NON-POTW",-109.649862,40.330239
"34","UTR000285","AERO SPACE TOOLING & MACHINING","NON-POTW",-111.95139,40.73313
"35","UT0024210","AIR PRODUCTS & CHEMICALS, INC.","NON-POTW",-111.890379,40.909908
"36","UTR368027","AIRGAS","NON-POTW",-112.349418,40.539352
"37","UTR270183","AIRGAS SPECIALTY GASES, INC.","NON-POTW",-112.348056,40.541111
"38","UTR258965","AIRGAS USA, LLC","NON-POTW",-112.00045,40.75476
"39","UTG170074","AIRMOTIVE SERVICE","NON-POTW",-112.06522,41.54354
"40","UTG070905","AIRPORT OPERATIONS CENTER","NON-POTW",-111.992039,40.772585
"41","UTR000522","ALABAMA METAL INDUSTRIES CORPORATION","NON-POTW",-111.72746,40.30166
"42","UTR000261","ALBANY AEROSTRUCTURES COMPOSITES LLC","NON-POTW",-112.0146,40.7792
"43","UTR000748","ALBERTSONS DISTRIBUTION CENTER #8231","NON-POTW",-111.926852,40.852872
"44","UTG071097","ALDER CONSTRUCTION CO","NON-POTW",-113.551362,37.071825
"45","UTR090041","ALIPINE CITY","NON-POTW",-111.77784,40.45355
"46","UTR273907","ALL OVER FENCE","NON-POTW",-112.078051,40.718425
"47","UTR000778","ALL TRUCK FOREIGN AND DOMESTIC PARTS","NON-POTW",-111.90549,40.6969
"48","UTR000502","ALLIED WASTE SERVICES OF ST. GEORGE","NON-POTW",-113.55983,37.11717
"49","UTR000614","ALLIED WASTE SERVICES OF UT COUNTY- PLEASANT GROVE HAULING","NON-POTW",-111.743271,40.355188
"50","UTR000258","ALTAMONT EAST COMP STATION","NON-POTW",-110.279699,40.355791
"51","UTR000505","ALTAMONT EAST COMPRESSOR STATION","NON-POTW",-110.279699,40.355791
"52","UTR386657","ALTAMONT HIGH BASEBALL FIELD","NON-POTW",-110.275198,40.357882
"53","UTR000969","ALUMASTEEL","NON-POTW",-111.87137,40.69304
"54","UTR275301","ALUMASTEEL","NON-POTW",-111.98601,40.75466
"55","UTR000416","ALUMAZ EXTRUSIONS - SPANISH FORK","NON-POTW",-111.644444,40.129722
"56","UTG170020","AMBASSADOR DUCK CLUB","NON-POTW",-112.024895,40.701895
"57","UTR000636","AMCOR MASONRY","NON-POTW",-111.93405,40.83765
"58","UTR000336","AMCOR MASONRY PRODUCTS","NON-POTW",-111.93405,40.83765
"59","UTR000447","AMCOR MASONY PRODUCTS","NON-POTW",-111.63557,40.21517
"60","UTR000619","AMCOR PRECAST COMPANY, INC","NON-POTW",-111.997568,41.244498
"61","UTR372509","AMEN DIESEL","NON-POTW",-113.078681,37.699047
"62","UTR090015","AMERICAN FORK CITY","NON-POTW",-111.79715,40.3768
"63","UTR275641","AMERICAN FORK CONCRETE BATCH PLANT","NON-POTW",-111.78352,40.34398
"64","UT0000167","AMERICAN GILSONITE CO","NON-POTW",-109.2375,40.040556
"65","UT0025259","AMERICAN GILSONITE COMPANY","NON-POTW",-109.173932,40.016547
"66","UTR262753","AMERICAN NUTRITION","NON-POTW",-111.97902,41.21341
"67","UTR010240","AMERICAN SPECIALTY GLASS, INC","NON-POTW",-111.92057,40.85687
"68","UTR000486","AMPAC UTAH OPERATIONS","NON-POTW",-113.11346,37.79484
"69","UTR000888","AMSCO WINDOWS","NON-POTW",-111.92105,40.7291
"70","UTR000493","AMTRAK PASSENGER TERMINAL","NON-POTW",-111.90811,40.76227
"71","UTG040029","ANDALEX RESOURCES, INC., CENTENNIAL MINES","NON-POTW",-110.739637,39.702737
"72","UT0000361","ANDERSON GENEVA DEVELOPMENT","NON-POTW",-111.743429,40.32448
"73","UTR000370","ANDERSON HICKEY COMPANY","NON-POTW",-113.095177,37.694952
"74","UTR000818","ANDERSON JUNCTION","NON-POTW",-113.300797,37.283315
"75","UTR001055","ANDERSON PIT","NON-POTW",-109.69547,40.2396
"76","UTR258297","ANDRUS TRANSPORTATION SERVICE, INC","NON-POTW",-113.530483,37.126132
"77","UTR000751","ANTELOPE CREEK OIL FIELD","NON-POTW",-110.402044,40.163291
"78","UTR349870","APEX ESPANSION PROJECT WASATCH LOOP","NON-POTW",-111.81442,40.63255
"79","UTG071049","APOLLO INDUSTRIAL BUILDING","NON-POTW",-112.027324,40.776531
"80","UTR379713","APPLE VALLEY ELEMENTARY","NON-POTW",-111.787553,39.988429
"81","UTR000135","APTUS","NON-POTW",-112.296411,40.530535
"82","UTR000551","ARCHER DANIEL MIDLAND COMPANY","NON-POTW",-111.919789,40.706575
"83","UTR367405","ARCHES FAIRFIELD MARRIOTT","NON-POTW",-109.516667,38.833333
"84","UTR263079","ASAHI REFINING USA INC","NON-POTW",-112.00081,40.72557
"85","UTG580047","ASH CREEK SPECIAL SERVICE DISTRICT","NON-POTW",-113.38923,37.14925
